exp_key,epoch,task_key,feature,num_diags,max_diag_level,0_acc_balanced,1_acc_balanced,4_acc_balanced,0_acc_pathological,0_acc_normal,1_acc_normal,1_acc_organic,1_acc_muscle_tension,1_acc_functional,4_acc_normal,4_acc_hyperfunctional_dysphonia,4_acc_recurrent_paralysis,4_acc_functional_dysphonia,4_acc_reinkes_edema,4_acc_laryngitis,4_acc_psychogenic_dysphonia,4_acc_vocal_fold_polyp,4_acc_leukoplakia
mfccdd_phrase_1_25_emodb,921,phrase,MFCCDD,1,1,,0.5559207038775326,,,,0.7952755905511811,0.8045977011494253,0.1666666666666666,0.4571428571428571,,,,,,,,,
mfccdd_phrase_1_25_librispeech,1132,phrase,MFCCDD,1,1,,0.5590688556171858,,,,0.7637795275590551,0.7701149425287356,0.4166666666666667,0.2857142857142857,,,,,,,,,
mfccdd_phrase_1_50_commonvoice,1075,phrase,MFCCDD,1,1,,0.5555707476220645,,,,0.7716535433070866,0.8045977011494253,0.3888888888888889,0.2571428571428571,,,,,,,,,
mfccdd_phrase_1_50_emodb,903,phrase,MFCCDD,1,1,,0.5564289377620901,,,,0.7874015748031497,0.8160919540229885,0.2222222222222222,0.4,,,,,,,,,
mfccdd_phrase_1_50_librispeech,1323,phrase,MFCCDD,1,1,,0.5588411362372807,,,,0.7716535433070866,0.8160919540229885,0.3333333333333333,0.3142857142857143,,,,,,,,,
mfccdd_phrase_4_25_commonvoice,738,phrase,MFCCDD,1,4,,,0.3125177423232078,,,,,,,0.6535433070866141,0.5833333333333334,0.2285714285714285,0.0,0.4705882352941176,0.5,0.2857142857142857,0.0909090909090909,0.0
mfccdd_phrase_4_25_emodb,1057,phrase,MFCCDD,1,4,,,0.3200752535166615,,,,,,,0.7480314960629921,0.5,0.4857142857142857,0.0476190476190476,0.2941176470588235,0.4285714285714285,0.2857142857142857,0.0909090909090909,0.0
mfccdd_phrase_4_25_librispeech,554,phrase,MFCCDD,1,4,,,0.300372773516204,,,,,,,0.6141732283464567,0.4722222222222222,0.4,0.0,0.4117647058823529,0.4285714285714285,0.2857142857142857,0.0909090909090909,0.0
mfccdd_phrase_4_50_commonvoice,990,phrase,MFCCDD,1,4,,,0.3256204345520387,,,,,,,0.7480314960629921,0.5277777777777778,0.4,0.0,0.2352941176470588,0.6428571428571429,0.2857142857142857,0.0909090909090909,0.0
mfccdd_phrase_4_50_emodb,857,phrase,MFCCDD,1,4,,,0.3220346082705199,,,,,,,0.6614173228346457,0.3611111111111111,0.3142857142857143,0.0,0.4705882352941176,0.5,0.5,0.0909090909090909,0.0
mfccdd_phrase_4_50_librispeech,1153,phrase,MFCCDD,1,4,,,0.3250704216043107,,,,,,,0.7952755905511811,0.6388888888888888,0.4285714285714285,0.0476190476190476,0.3529411764705882,0.2857142857142857,0.2857142857142857,0.0909090909090909,0.0
unispeechSAT_a_4_25_commonvoice,100,a_n,UnispeechSAT,1,4,,,0.2636617838100006,,,,,,,0.7401574803149606,0.3333333333333333,0.5142857142857142,0.0,0.1176470588235294,0.1428571428571428,0.1428571428571428,0.1818181818181818,0.2
unispeechSAT_a_4_25_emodb,70,a_n,UnispeechSAT,1,4,,,0.2619887383358126,,,,,,,0.7165354330708661,0.6111111111111112,0.5428571428571428,0.0,0.0588235294117647,0.2857142857142857,0.1428571428571428,0.0,0.0
unispeechSAT_a_4_25_librispeech,121,a_n,UnispeechSAT,1,4,,,0.2610182157117466,,,,,,,0.7716535433070866,0.5277777777777778,0.3714285714285714,0.0,0.0588235294117647,0.2857142857142857,0.1428571428571428,0.0909090909090909,0.1
unispeechSAT_a_4_50_commonvoice,24,a_n,UnispeechSAT,1,4,,,0.2609458539904734,,,,,,,0.7874015748031497,0.3611111111111111,0.3428571428571428,0.0,0.0,0.7142857142857143,0.1428571428571428,0.0,0.0
unispeechSAT_a_4_50_librispeech,80,a_n,UnispeechSAT,1,4,,,0.2571903296698727,,,,,,,0.5905511811023622,0.6944444444444444,0.2571428571428571,0.0,0.1764705882352941,0.1428571428571428,0.0714285714285714,0.1818181818181818,0.2
unispeechSAT_phrase_0_25_commonvoice,26,phrase,UnispeechSAT,1,0,0.9352387122495764,,,0.9177215189873418,0.952755905511811,,,,,,,,,,,,,
unispeechSAT_phrase_0_25_emodb,6,phrase,UnispeechSAT,1,0,0.9281371474135354,,,0.9113924050632912,0.9448818897637796,,,,,,,,,,,,,
unispeechSAT_phrase_0_25_librispeech,26,phrase,UnispeechSAT,1,0,0.9313017043755608,,,0.9177215189873418,0.9448818897637796,,,,,,,,,,,,,
unispeechSAT_phrase_0_50_commonvoice,27,phrase,UnispeechSAT,1,0,0.9297568025515798,,,0.930379746835443,0.9291338582677166,,,,,,,,,,,,,
unispeechSAT_phrase_0_50_emodb,16,phrase,UnispeechSAT,1,0,0.927364696501545,,,0.9177215189873418,0.937007874015748,,,,,,,,,,,,,
unispeechSAT_phrase_0_50_librispeech,22,phrase,UnispeechSAT,1,0,0.9320741552875512,,,0.9113924050632912,0.952755905511811,,,,,,,,,,,,,
unispeechSAT_phrase_1_25_commonvoice,16,phrase,UnispeechSAT,1,1,,0.6245383120213421,,,,0.8188976377952756,0.7586206896551724,0.7777777777777778,0.1428571428571428,,,,,,,,,
