cross_task_key,max_diag_level,exp_key,extra_db,percent_injection,epoch,0_acc_balanced,1_acc_balanced,4_acc_balanced,input_task_key,feature,num_diags,0_acc_normal,0_acc_pathological,1_acc_normal,1_acc_organic,1_acc_muscle_tension,1_acc_functional,4_acc_adductor_spasmodic_dysphonia,4_acc_cyst,4_acc_subglottal_mass,4_acc_hyperfunction,4_acc_normal,4_acc_paralysis,4_acc_vocal_fold_edema,4_acc_conversion_dysphonia,4_acc_paresis,4_acc_abductor_spasmodic_dysphonia,4_acc_laryngeal_tuberculosis,4_acc_scarring,4_acc_subglottis_stenosis,4_acc_hemmoragic_reinkes_edema,4_acc_leukoplakia,4_acc_polypoid_degeneration_reinkes,4_acc_vocal_fold_nodules,4_acc_post_intubation_submucosal_edema_mild,4_acc_varix,4_acc_exudative_hyperkeratotic_lesions_of_epithelium,4_acc_presbyphonia,4_acc_vocal_fold_polyp,4_acc_episodic_functional_dysphonia,4_acc_vocal_tremor,4_acc_hyperkinetic_dysphonia_polyps,4_acc_hyperkinetic_dysphonia_nodule,4_acc_hyperkinetic_dysphonia_vocal_fold_nodules,4_acc_hypokinetic_dysphonia,4_acc_hyperkinetic_dysphonia_adduction_deficit,4_acc_hypokinetic_dysphonia_adduction_deficit,4_acc_hypokinetic_dysphonia_spasmodic_dysphonia,4_acc_hyperkinetic_dysphonia_reinkes_edema,4_acc_hypokinetic_dysphonia_presbiphonia,4_acc_hyperkinetic_dysphonia_rigid_vocal_fold,4_acc_hyperkinetic_dysphonia,4_acc_hypokinetic_dysphonia_conversion_dysphonia,4_acc_hyperkinetic_dysphonia_vocal_fold_paralysis,4_acc_reflux_laryngitis,4_acc_hypokinetic_dysphonia_vocal_fold_paralysis,4_acc_hypokinetic_dysphonia_glottic_insufficiency
cross_test_voiced,1,unispeechSAT_phrase_1_25_librispeech,LibrispeechDevClean,25,11,,0.2894736842105263,,phrase,UnispeechSAT,1,,,0.15789473684210525,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_a_1_50_librispeech,LibrispeechDevClean,50,40,,0.28120782726045884,,a_n,Wav2Vec,1,,,0.3508771929824561,0.7564102564102564,0.017543859649122806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_a_1_50_emodb,EmoDB,50,40,,0.27968960863697706,,a_n,Wav2Vec,1,,,0.2807017543859649,0.8205128205128205,0.017543859649122806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_a_1_50_commonvoice,CommonVoiceDeltaSegment20,50,9,,0.268387314439946,,a_n,Wav2Vec,1,,,0.5789473684210527,0.3717948717948718,0.12280701754385964,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_phrase_1_50_librispeech,LibrispeechDevClean,50,160,,0.2672064777327935,,phrase,Wav2Vec,1,,,0.24561403508771928,0.717948717948718,0.10526315789473684,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,unispeechSAT_phrase_1_50_commonvoice,CommonVoiceDeltaSegment20,50,20,,0.26282051282051283,,phrase,UnispeechSAT,1,,,1.0,0.05128205128205128,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,unispeechSAT_phrase_1_25_commonvoice,CommonVoiceDeltaSegment20,25,16,,0.2624831309041835,,phrase,UnispeechSAT,1,,,0.9473684210526315,0.10256410256410256,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_phrase_1_50_commonvoice,CommonVoiceDeltaSegment20,50,40,,0.26130229419703105,,phrase,Wav2Vec,1,,,0.24561403508771928,0.782051282051282,0.017543859649122806,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,wav2vec_phrase_1_25_commonvoice,CommonVoiceDeltaSegment20,25,168,,0.2572537112010796,,phrase,Wav2Vec,1,,,0.14035087719298245,0.7307692307692307,0.15789473684210525,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,mfccdd_phrase_1_50_librispeech,LibrispeechDevClean,50,1323,,0.25,,phrase,MFCCDD,1,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,mfccdd_phrase_1_50_emodb,EmoDB,50,903,,0.25,,phrase,MFCCDD,1,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,mfccdd_phrase_1_50_commonvoice,CommonVoiceDeltaSegment20,50,1075,,0.25,,phrase,MFCCDD,1,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,mfccdd_phrase_1_25_librispeech,LibrispeechDevClean,25,1132,,0.25,,phrase,MFCCDD,1,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_test_voiced,1,mfccdd_phrase_1_25_emodb,EmoDB,25,921,,0.25,,phrase,MFCCDD,1,,,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
