Stream,Task,RecallPerClass
3,3,[0.         0.31491713 0.0170697  0.24874791        nan]
3,4,[0.         0.55555556 0.09090909 0.85714286 0.33333333 0.        ]
3,4,[0.         0.         0.45454545 0.85714286 0.         0.        ]
3,4,[ 0.  0.  1.  0.  0.  0. nan]
3,4,[0.         0.44444444 0.         0.42857143 0.         0.        ]
3,4,[0.         1.         0.         0.         0.33333333 0.        ]
3,4,[0.         0.55555556 0.         0.57142857 0.         0.        ]
3,5,"[0.         0.5359116  0.46230441 0.03061224 0.05479452 0.
 0.                nan]"
3,5,"[0.         0.         0.92176387 0.         0.         0.
 0.                nan]"
3,5,"[0.         0.         0.90469417 0.         0.         0.
 0.                nan]"
3,5,"[0.         0.03867403 0.84352774 0.02040816 0.0239726  0.
 0.                nan]"
3,5,"[0.         0.         0.42674253 0.53061224 0.16438356 0.
 0.                nan]"
3,5,"[0.         0.2320442  0.11664296 0.35714286 0.         0.
 0.                nan]"
